"Parcela"	"total_biomass_seca_g"
"1"	1	9864,16480800742
"2"	2	6210,71834209609
"3"	3	7548,81085130975
"4"	4	10017,9847113599
"5"	5	14182,1183709454
"6"	6	1895,44991462813
"7"	7	2758,52917284049
"8"	8	6855,02299130083
"9"	9	5149,32264988561
"10"	10	8278,65624477288
"11"	11	23048,5635564593
"12"	12	10961,7458972659
"13"	13	13640,3091785381
"14"	14	23842,8522012023
"15"	15	6761,52913150752
"16"	16	12662,2549767725
"17"	17	13250,8878172327
"18"	18	7942,55400208592
"19"	19	10208,3736025419
"20"	20	1893,27623353338
"21"	21	17,8190704332553
"22"	22	15,5737857259651
"23"	23	326,696596726354
"24"	24	7,50047841284986
"25"	25	59,479586568181
"26"	26	416,975965771304
"27"	27	100,80254281545
"28"	28	394,543576873411
"29"	29	17,7858258988649
"30"	30	55,050391678629
"31"	31	2056,55804282777
"32"	33	8770,2917629694
"33"	34	2497,68744146964
"34"	35	3683,87800123794
"35"	36	4620,01851695289
"36"	37	7053,8508796742
"37"	38	7768,60836906783
"38"	39	16104,9310946487
"39"	40	13042,4701593236
